@relation elecDS
@attribute date numeric
@attribute day {'1','2','3','4','5','6','7'}
@attribute period numeric
@attribute nswprice numeric
@attribute nswdemand numeric
@attribute class {'DOWN','UP'}
@data
0,'2',0,0.056443,0.439155,'UP'
0,'2',0.021277,0.051699,0.415055,'UP'
0,'2',0.042553,0.051489,0.385004,'UP'
0,'2',0.06383,0.045485,0.314639,'UP'
0,'2',0.085106,0.042482,0.251116,'DOWN'
0,'2',0.106383,0.041161,0.207528,'DOWN'
0,'2',0.12766,0.041161,0.171824,'DOWN'
0,'2',0.148936,0.041161,0.152782,'DOWN'
0,'2',0.170213,0.041161,0.13493,'DOWN'
0,'2',0.191489,0.041161,0.140583,'DOWN'
0,'2',0.212766,0.044374,0.168997,'UP'
0,'2',0.234043,0.049868,0.212437,'UP'
0,'2',0.255319,0.051489,0.298721,'UP'
0,'2',0.276596,0.042482,0.39036,'DOWN'
0,'2',0.297872,0.040861,0.402261,'DOWN'
0,'2',0.319149,0.040711,0.462214,'DOWN'
0,'2',0.340426,0.040861,0.488248,'DOWN'
0,'2',0.361702,0.040711,0.493306,'DOWN'
0,'2',0.382979,0.041041,0.53258,'DOWN'
0,'2',0.404255,0.041161,0.546415,'DOWN'
0,'2',0.425532,0.044374,0.53496,'UP'
0,'2',0.446809,0.044374,0.51681,'UP'
0,'2',0.468085,0.044374,0.513984,'UP'
0,'2',0.489362,0.045485,0.513835,'UP'
0,'2',0.510638,0.044374,0.505356,'UP'
0,'2',0.531915,0.044374,0.497917,'UP'
0,'2',0.553191,0.042482,0.499554,'DOWN'
0,'2',0.574468,0.044374,0.491669,'UP'
0,'2',0.595745,0.044374,0.489735,'UP'
0,'2',0.617021,0.042482,0.47709,'DOWN'
0,'2',0.638298,0.040861,0.466825,'DOWN'
0,'2',0.659574,0.041161,0.478132,'DOWN'
0,'2',0.680851,0.041161,0.484975,'DOWN'
0,'2',0.702128,0.041161,0.503124,'DOWN'
0,'2',0.723404,0.042482,0.55296,'DOWN'
0,'2',0.744681,0.044374,0.612318,'UP'
0,'2',0.765957,0.041041,0.587623,'DOWN'
0,'2',0.787234,0.040711,0.546861,'DOWN'
0,'2',0.808511,0.040711,0.497025,'DOWN'
0,'2',0.829787,0.040861,0.470693,'DOWN'
0,'2',0.851064,0.041041,0.446296,'DOWN'
0,'2',0.87234,0.042482,0.412229,'DOWN'
0,'2',0.893617,0.041161,0.368789,'DOWN'
0,'2',0.914894,0.051489,0.34573,'UP'
0,'2',0.93617,0.056443,0.40479,'UP'
0,'2',0.957447,0.054642,0.42889,'UP'
0,'2',0.978723,0.059235,0.445254,'UP'
0,'2',1,0.054642,0.44094,'UP'
4.4e-05,'3',0,0.059235,0.442874,'UP'
4.4e-05,'3',0.021277,0.056443,0.41089,'UP'
4.4e-05,'3',0.042553,0.051489,0.378905,'UP'
4.4e-05,'3',0.06383,0.044374,0.316721,'DOWN'
4.4e-05,'3',0.085106,0.041041,0.257959,'DOWN'
4.4e-05,'3',0.106383,0.041161,0.214073,'DOWN'
4.4e-05,'3',0.12766,0.041161,0.178816,'DOWN'
4.4e-05,'3',0.148936,0.040951,0.151889,'DOWN'
4.4e-05,'3',0.170213,0.041011,0.1385,'DOWN'
4.4e-05,'3',0.191489,0.041041,0.142071,'DOWN'
4.4e-05,'3',0.212766,0.042482,0.171675,'DOWN'
4.4e-05,'3',0.234043,0.051489,0.214519,'UP'
4.4e-05,'3',0.255319,0.051489,0.30244,'UP'
4.4e-05,'3',0.276596,0.051489,0.393038,'UP'
4.4e-05,'3',0.297872,0.040861,0.395567,'DOWN'
4.4e-05,'3',0.319149,0.040861,0.456561,'DOWN'
4.4e-05,'3',0.340426,0.040861,0.487504,'DOWN'
4.4e-05,'3',0.361702,0.040861,0.488991,'DOWN'
